train/learning_rate,train/entropy_loss,train/policy_gradient_loss,train/value_loss,train/approx_kl,train/clip_fraction,train/loss,train/gradient_layer_0,train/gradient_layer_1,train/gradient_layer_2,train/gradient_layer_3,train/gradient_layer_4,train/gradient_layer_5,train/gradient_layer_6,train/gradient_layer_7,train/gradient_layer_8,train/gradient_layer_9,train/gradient_layer_10,train/gradient_layer_11,train/n_updates,train/clip_range
0.0003,-0.6040184415876866,-0.008593933275551534,73.53381872177124,0.0059518395,0.0306640625,24.80929946899414,3.479964,0.06979703,11.712036,0.060146883,3.988074,1.547346,18.716675,0.9634711,0.56098884,0.013601745,4.2569566,0.18784174,44,0.2
0.0003,-0.6015231497585773,-0.009545888817228843,69.79237523674965,0.0065123886,0.036702473958333336,17.815261840820312,3.4907455,0.06455958,11.719173,0.05650475,4.017859,1.5537113,18.79379,0.96471584,0.57019687,0.012924637,4.3328776,0.19386093,45,0.2
0.0003,-0.599413113668561,-0.010086480043745334,66.67783165829522,0.00724483,0.04345703125,29.631269454956055,3.4971097,0.061829697,11.721029,0.05313005,4.054439,1.554217,18.861643,0.9623851,0.57228345,0.012212309,4.4021215,0.19933425,46,0.2
0.0003,-0.5977114057168365,-0.0106128114839521,64.01298333704472,0.0072495095,0.04791259765625,28.21201515197754,3.5077236,0.05739572,11.726404,0.05135441,4.089344,1.5542678,18.925549,0.9602171,0.5782365,0.011796302,4.464741,0.20429142,47,0.2
0.0003,-0.5964669628689686,-0.01097213571483735,61.74607794814639,0.007531277,0.052083333333333336,14.928452491760254,3.515765,0.053428262,11.73021,0.05008962,4.127381,1.546719,18.970854,0.95408046,0.58118343,0.011423196,4.51292,0.20811126,48,0.2
0.0003,-0.5957669371739029,-0.011352383528719655,59.78224212527275,0.0068340907,0.054443359375,39.66187286376953,3.520756,0.051239062,11.730477,0.048842065,4.1641135,1.5426091,19.021473,0.9500236,0.57941514,0.010974161,4.559674,0.21183328,49,0.2
0.0003,-0.5959630087018013,-0.0025981938233599067,84.66288328170776,0.0004706399,0.0,41.42145538330078,3.531866,0.051018964,11.74042,0.045805752,4.157655,1.5882832,19.130337,0.97584134,0.5933712,0.010231784,4.6428795,0.21918133,50,0.2
0.0003,-0.5907548610121012,-0.0045011507463641465,78.36694979667664,0.0023177166,0.005859375,43.76103591918945,3.5465465,0.050759073,11.752559,0.04573935,4.155659,1.6292765,19.259315,0.99803597,0.613025,0.010264613,4.747,0.22827731,51,0.2
0.0003,-0.5867967344820499,-0.005565370753174648,73.18582367897034,0.0031580462,0.011555989583333334,28.571889877319336,3.5558043,0.052168794,11.760723,0.050077822,4.163745,1.654835,19.371912,1.0107176,0.6257823,0.011111109,4.8500075,0.23725322,52,0.2
0.0003,-0.5838760416954756,-0.006516866927995579,68.91196247935295,0.0037526004,0.0167236328125,23.475582122802734,3.565599,0.055897444,11.768192,0.05647977,4.1790366,1.6692754,19.466637,1.016821,0.63503146,0.012169978,4.9462543,0.2456655,53,0.2
0.0003,-0.5818431604653597,-0.007435834631905891,65.35222852230072,0.004027541,0.02060546875,17.717771530151367,3.5727472,0.063001215,11.774058,0.0654608,4.196784,1.6781788,19.546097,1.0202796,0.6412614,0.01351018,5.0331564,0.2533329,54,0.2
0.0003,-0.5803032433614135,-0.007954125280472605,62.3668075799942,0.0056611784,0.027669270833333332,34.753482818603516,3.5786867,0.067530386,11.779605,0.070568755,4.217038,1.6821989,19.62043,1.0208831,0.6473193,0.014320459,5.116165,0.26070037,55,0.2
0.0003,-0.5788859405687877,-0.008374263314181007,59.84138757841928,0.004671192,0.030622209821428572,23.999204635620117,3.5831165,0.0696335,11.784614,0.07276634,4.2382464,1.6816546,19.675001,1.019427,0.6528699,0.014698752,5.1867676,0.26701018,56,0.2
0.0003,-0.5779014746658504,-0.008713546381841297,57.70560684800148,0.0055885855,0.03411865234375,20.272018432617188,3.5824924,0.070903145,11.78446,0.07409815,4.260241,1.6779393,19.71718,1.0163089,0.64867985,0.014949618,5.2481093,0.27251837,57,0.2
0.0003,-0.5767597299483087,-0.009009646411868744,55.883461044894325,0.0056504337,0.03700086805555555,34.45088577270508,3.5921926,0.0790714,11.792404,0.08124734,4.2870994,1.667455,19.75193,1.0097325,0.65802944,0.015950257,5.3001842,0.27706975,58,0.2
0.0003,-0.5758684787899255,-0.009282661268662196,54.32039390802383,0.007667404,0.042578125,25.503936767578125,3.5917566,0.08100926,11.79312,0.08305991,4.31429,1.6541116,19.769814,1.0021185,0.654996,0.016253594,5.336674,0.28028792,59,0.2
0.0003,-0.5869208853691816,-0.0005263713101157919,76.91610884666443,7.007466e-05,0.0,35.122684478759766,3.5982919,0.07622694,11.797607,0.078668505,4.3089643,1.6900473,19.866053,1.022711,0.6597396,0.015655994,5.423098,0.28870496,60,0.2
